명소,대분류,감성구분,aspect,긍정,부정,중립,전체,긍정비율,부정비율,중립비율,긍정_가중점수,부정_가중점수,중립_가중점수
경복궁,1. 전반적 인식,긍정,경험,132,5,3,140,94.3,3.6,2.1,466.67,17.82,10.39
경복궁,1. 전반적 인식,긍정,가치,102,4,4,110,92.7,3.6,3.6,436.57,16.95,16.95
경복궁,1. 전반적 인식,긍정,장소,83,0,9,92,90.2,0.0,9.8,408.84,0.0,44.42
경복궁,1. 전반적 인식,긍정,방문,70,3,4,77,90.9,3.9,5.2,396.02,16.99,22.65
경복궁,1. 전반적 인식,긍정,경복궁,96,0,24,120,80.0,0.0,20.0,383.66,0.0,95.92
경복궁,1. 전반적 인식,긍정,분위기,45,3,0,48,93.8,6.2,0.0,365.05,24.13,0.0
경복궁,1. 전반적 인식,긍정,궁궐,80,8,15,103,77.7,7.8,14.6,360.87,36.23,67.81
경복궁,1. 전반적 인식,긍정,시간,35,0,0,35,100.0,0.0,0.0,358.35,0.0,0.0
경복궁,1. 전반적 인식,긍정,명소,54,0,11,65,83.1,0.0,16.9,348.16,0.0,70.81
경복궁,1. 전반적 인식,긍정,역사,37,0,8,45,82.2,0.0,17.8,314.71,0.0,68.15
경복궁,1. 전반적 인식,긍정,궁전,29,4,1,34,85.3,11.8,2.9,303.27,41.95,10.31
경복궁,1. 전반적 인식,긍정,추억,17,0,0,17,100.0,0.0,0.0,289.04,0.0,0.0
경복궁,1. 전반적 인식,긍정,한국,13,0,1,14,92.9,0.0,7.1,251.58,0.0,19.23
경복궁,1. 전반적 인식,긍정,여행,12,1,0,13,92.3,7.7,0.0,243.58,20.32,0.0
경복궁,1. 전반적 인식,긍정,서울,13,0,2,15,86.7,0.0,13.3,240.38,0.0,36.88
경복궁,1. 전반적 인식,긍정,마음,8,0,0,8,100.0,0.0,0.0,219.72,0.0,0.0
경복궁,1. 전반적 인식,긍정,관광지,9,0,1,10,90.0,0.0,10.0,215.81,0.0,23.98
경복궁,1. 전반적 인식,긍정,추천,7,0,0,7,100.0,0.0,0.0,207.94,0.0,0.0
경복궁,1. 전반적 인식,긍정,랜드마크,7,0,0,7,100.0,0.0,0.0,207.94,0.0,0.0
경복궁,1. 전반적 인식,긍정,유적지,13,1,6,20,65.0,5.0,30.0,197.89,15.22,91.34
경복궁,1. 전반적 인식,부정,매력,9,3,0,12,75.0,25.0,0.0,192.37,64.12,0.0
경복궁,1. 전반적 인식,부정,사람,5,2,1,8,62.5,25.0,12.5,137.33,54.93,27.47
경복궁,1. 전반적 인식,부정,궁전,29,4,1,34,85.3,11.8,2.9,303.27,41.95,10.31
경복궁,1. 전반적 인식,부정,궁궐,80,8,15,103,77.7,7.8,14.6,360.87,36.23,67.81
경복궁,1. 전반적 인식,부정,나라,3,1,1,5,60.0,20.0,20.0,107.51,35.84,35.84
경복궁,1. 전반적 인식,부정,창덕궁,3,1,1,5,60.0,20.0,20.0,107.51,35.84,35.84
경복궁,1. 전반적 인식,부정,관심,1,1,3,5,20.0,20.0,60.0,35.84,35.84,107.51
경복궁,1. 전반적 인식,부정,분위기,45,3,0,48,93.8,6.2,0.0,365.05,24.13,0.0
경복궁,1. 전반적 인식,부정,여행,12,1,0,13,92.3,7.7,0.0,243.58,20.32,0.0
경복궁,1. 전반적 인식,부정,경험,132,5,3,140,94.3,3.6,2.1,466.67,17.82,10.39
경복궁,1. 전반적 인식,부정,방문,70,3,4,77,90.9,3.9,5.2,396.02,16.99,22.65
경복궁,1. 전반적 인식,부정,가치,102,4,4,110,92.7,3.6,3.6,436.57,16.95,16.95
경복궁,1. 전반적 인식,부정,유적지,13,1,6,20,65.0,5.0,30.0,197.89,15.22,91.34
경복궁,1. 전반적 인식,부정,관광지,9,0,1,10,90.0,0.0,10.0,215.81,0.0,23.98
경복궁,1. 전반적 인식,부정,경복궁,96,0,24,120,80.0,0.0,20.0,383.66,0.0,95.92
경복궁,1. 전반적 인식,부정,관광,4,0,2,6,66.7,0.0,33.3,129.79,0.0,64.8
경복궁,1. 전반적 인식,부정,관광 명소,5,0,2,7,71.4,0.0,28.6,148.47,0.0,59.47
경복궁,1. 전반적 인식,부정,문화,8,0,2,10,80.0,0.0,20.0,191.83,0.0,47.96
경복궁,1. 전반적 인식,부정,명소,54,0,11,65,83.1,0.0,16.9,348.16,0.0,70.81
경복궁,1. 전반적 인식,부정,랜드마크,7,0,0,7,100.0,0.0,0.0,207.94,0.0,0.0
경복궁,1. 전반적 인식,중립,관심,1,1,3,5,20.0,20.0,60.0,35.84,35.84,107.51
경복궁,1. 전반적 인식,중립,경복궁,96,0,24,120,80.0,0.0,20.0,383.66,0.0,95.92
경복궁,1. 전반적 인식,중립,유적지,13,1,6,20,65.0,5.0,30.0,197.89,15.22,91.34
경복궁,1. 전반적 인식,중립,명소,54,0,11,65,83.1,0.0,16.9,348.16,0.0,70.81
경복궁,1. 전반적 인식,중립,역사,37,0,8,45,82.2,0.0,17.8,314.71,0.0,68.15
경복궁,1. 전반적 인식,중립,궁궐,80,8,15,103,77.7,7.8,14.6,360.87,36.23,67.81
경복궁,1. 전반적 인식,중립,관광,4,0,2,6,66.7,0.0,33.3,129.79,0.0,64.8
경복궁,1. 전반적 인식,중립,관광 명소,5,0,2,7,71.4,0.0,28.6,148.47,0.0,59.47
