작성일,평점,리뷰번역,연도,월,문장_번호,aspect,predicate,대분류,소분류,감성
1달 전,별표 5개,"서울의 아름답고 상징적인 명소, 남산.",2026,1.0,1,명소,아름답다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"서울의 아름답고 상징적인 명소, 남산.",2026,1.0,1,명소,상징적이다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"남산을 오르는 길은 즐겁고, N서울타워 꼭대기까지 올라가지 않아도 주변 경치는 환상적입니다.",2026,1.0,2,길,즐겁다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,"남산을 오르는 길은 즐겁고, N서울타워 꼭대기까지 올라가지 않아도 주변 경치는 환상적입니다.",2026,1.0,2,경치,환상적이다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"좋은 분위기, 아름다운 자연, 그리고 사진 찍기 좋은 장소들이 가득합니다.",2026,1.0,3,분위기,좋다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"좋은 분위기, 아름다운 자연, 그리고 사진 찍기 좋은 장소들이 가득합니다.",2026,1.0,3,자연,아름답다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"좋은 분위기, 아름다운 자연, 그리고 사진 찍기 좋은 장소들이 가득합니다.",2026,1.0,3,장소,좋다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"좋은 분위기, 아름다운 자연, 그리고 사진 찍기 좋은 장소들이 가득합니다.",2026,1.0,3,장소,가득하다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,산책과 도시 경관 감상을 좋아하시는 분들께 강력 추천합니다.,2026,1.0,4,산책,추천하다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,산책과 도시 경관 감상을 좋아하시는 분들께 강력 추천합니다.,2026,1.0,4,경관,추천하다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"잊을 수 없는, 매우 문화적인 경험이었습니다.",2026,1.0,1,경험,문화적이다,1. 전반적 인식,종합 만족도,긍정
