명소,대분류,감성구분,aspect,긍정,부정,중립,전체,긍정비율,부정비율,중립비율,긍정_가중점수,부정_가중점수,중립_가중점수
남산,1. 전반적 인식,긍정,경험,186,18,7,211,88.2,8.5,3.3,472.45,45.53,17.68
남산,1. 전반적 인식,긍정,가치,182,44,2,228,79.8,19.3,0.9,433.61,104.87,4.89
남산,1. 전반적 인식,긍정,방문,60,0,1,61,98.4,0.0,1.6,406.11,0.0,6.6
남산,1. 전반적 인식,긍정,장소,73,4,2,79,92.4,5.1,2.5,404.9,22.35,10.96
남산,1. 전반적 인식,긍정,분위기,56,2,1,59,94.9,3.4,1.7,388.55,13.92,6.96
남산,1. 전반적 인식,긍정,시간,45,0,0,45,100.0,0.0,0.0,382.86,0.0,0.0
남산,1. 전반적 인식,긍정,명소,78,2,13,93,83.9,2.2,14.0,381.18,10.0,63.61
남산,1. 전반적 인식,긍정,추억,24,0,0,24,100.0,0.0,0.0,321.89,0.0,0.0
남산,1. 전반적 인식,긍정,서울,21,0,2,23,91.3,0.0,8.7,290.16,0.0,27.65
남산,1. 전반적 인식,긍정,여행,20,2,0,22,90.9,9.1,0.0,285.02,28.53,0.0
남산,1. 전반적 인식,긍정,랜드마크,25,0,6,31,80.6,0.0,19.4,279.34,0.0,67.24
남산,1. 전반적 인식,긍정,남산타워,26,0,7,33,78.8,0.0,21.2,277.88,0.0,74.76
남산,1. 전반적 인식,긍정,추천,19,3,0,22,86.4,13.6,0.0,270.91,42.64,0.0
남산,1. 전반적 인식,긍정,타워,26,5,4,35,74.3,14.3,11.4,266.26,51.24,40.85
남산,1. 전반적 인식,긍정,N서울타워,21,2,5,28,75.0,7.1,17.9,252.55,23.91,60.27
남산,1. 전반적 인식,긍정,매력,14,2,1,17,82.4,11.8,5.9,238.17,34.11,17.05
남산,1. 전반적 인식,긍정,하루,8,0,0,8,100.0,0.0,0.0,219.72,0.0,0.0
남산,1. 전반적 인식,긍정,관광지,15,1,8,24,62.5,4.2,33.3,201.18,13.52,107.19
남산,1. 전반적 인식,긍정,서울타워,15,4,5,24,62.5,16.7,20.8,201.18,53.76,66.95
남산,1. 전반적 인식,긍정,남산 타워,5,0,0,5,100.0,0.0,0.0,179.18,0.0,0.0
남산,1. 전반적 인식,부정,필요,0,10,6,16,0.0,62.5,37.5,0.0,177.08,106.25
남산,1. 전반적 인식,부정,가치,182,44,2,228,79.8,19.3,0.9,433.61,104.87,4.89
남산,1. 전반적 인식,부정,서울타워,15,4,5,24,62.5,16.7,20.8,201.18,53.76,66.95
남산,1. 전반적 인식,부정,타워,26,5,4,35,74.3,14.3,11.4,266.26,51.24,40.85
남산,1. 전반적 인식,부정,경험,186,18,7,211,88.2,8.5,3.3,472.45,45.53,17.68
남산,1. 전반적 인식,부정,추천,19,3,0,22,86.4,13.6,0.0,270.91,42.64,0.0
남산,1. 전반적 인식,부정,매력,14,2,1,17,82.4,11.8,5.9,238.17,34.11,17.05
남산,1. 전반적 인식,부정,한국,6,1,0,7,85.7,14.3,0.0,178.21,29.74,0.0
남산,1. 전반적 인식,부정,여행,20,2,0,22,90.9,9.1,0.0,285.02,28.53,0.0
남산,1. 전반적 인식,부정,N서울타워,21,2,5,28,75.0,7.1,17.9,252.55,23.91,60.27
남산,1. 전반적 인식,부정,장소,73,4,2,79,92.4,5.1,2.5,404.9,22.35,10.96
남산,1. 전반적 인식,부정,분위기,56,2,1,59,94.9,3.4,1.7,388.55,13.92,6.96
남산,1. 전반적 인식,부정,관광지,15,1,8,24,62.5,4.2,33.3,201.18,13.52,107.19
남산,1. 전반적 인식,부정,명소,78,2,13,93,83.9,2.2,14.0,381.18,10.0,63.61
남산,1. 전반적 인식,부정,랜드마크,25,0,6,31,80.6,0.0,19.4,279.34,0.0,67.24
남산,1. 전반적 인식,부정,관광 명소,5,0,3,8,62.5,0.0,37.5,137.33,0.0,82.4
남산,1. 전반적 인식,부정,남산,5,0,2,7,71.4,0.0,28.6,148.47,0.0,59.47
남산,1. 전반적 인식,부정,남산타워,26,0,7,33,78.8,0.0,21.2,277.88,0.0,74.76
남산,1. 전반적 인식,부정,남산 타워,5,0,0,5,100.0,0.0,0.0,179.18,0.0,0.0
남산,1. 전반적 인식,부정,마음,6,0,1,7,85.7,0.0,14.3,178.21,0.0,29.74
남산,1. 전반적 인식,중립,관광지,15,1,8,24,62.5,4.2,33.3,201.18,13.52,107.19
남산,1. 전반적 인식,중립,필요,0,10,6,16,0.0,62.5,37.5,0.0,177.08,106.25
남산,1. 전반적 인식,중립,관광 명소,5,0,3,8,62.5,0.0,37.5,137.33,0.0,82.4
남산,1. 전반적 인식,중립,남산타워,26,0,7,33,78.8,0.0,21.2,277.88,0.0,74.76
남산,1. 전반적 인식,중립,랜드마크,25,0,6,31,80.6,0.0,19.4,279.34,0.0,67.24
남산,1. 전반적 인식,중립,서울타워,15,4,5,24,62.5,16.7,20.8,201.18,53.76,66.95
남산,1. 전반적 인식,중립,인기,4,0,2,6,66.7,0.0,33.3,129.79,0.0,64.8
남산,1. 전반적 인식,중립,명소,78,2,13,93,83.9,2.2,14.0,381.18,10.0,63.61
남산,1. 전반적 인식,중립,N서울타워,21,2,5,28,75.0,7.1,17.9,252.55,23.91,60.27
남산,1. 전반적 인식,중립,남산,5,0,2,7,71.4,0.0,28.6,148.47,0.0,59.47
남산,1. 전반적 인식,중립,타워,26,5,4,35,74.3,14.3,11.4,266.26,51.24,40.85
남산,1. 전반적 인식,중립,선택,4,0,1,5,80.0,0.0,20.0,143.34,0.0,35.84
남산,1. 전반적 인식,중립,마음,6,0,1,7,85.7,0.0,14.3,178.21,0.0,29.74
남산,1. 전반적 인식,중립,서울,21,0,2,23,91.3,0.0,8.7,290.16,0.0,27.65
남산,1. 전반적 인식,중립,경험,186,18,7,211,88.2,8.5,3.3,472.45,45.53,17.68
남산,1. 전반적 인식,중립,매력,14,2,1,17,82.4,11.8,5.9,238.17,34.11,17.05
남산,1. 전반적 인식,중립,장소,73,4,2,79,92.4,5.1,2.5,404.9,22.35,10.96
남산,1. 전반적 인식,중립,분위기,56,2,1,59,94.9,3.4,1.7,388.55,13.92,6.96
남산,1. 전반적 인식,중립,방문,60,0,1,61,98.4,0.0,1.6,406.11,0.0,6.6
남산,1. 전반적 인식,중립,가치,182,44,2,228,79.8,19.3,0.9,433.61,104.87,4.89
남산,2. 시각적 요소,긍정,전망,825,25,14,864,95.5,2.9,1.6,645.84,19.61,10.82
남산,2. 시각적 요소,긍정,경치,519,24,12,555,93.5,4.3,2.2,590.99,27.18,13.91
남산,2. 시각적 요소,긍정,풍경,339,9,16,364,93.1,2.5,4.4,549.28,14.75,25.96
남산,2. 시각적 요소,긍정,야경,168,4,11,183,91.8,2.2,6.0,478.73,11.47,31.29
남산,2. 시각적 요소,긍정,전경,95,1,5,101,94.1,1.0,5.0,435.21,4.62,23.12
남산,2. 시각적 요소,긍정,일몰,57,2,5,64,89.1,3.1,7.8,371.94,12.94,32.56
남산,2. 시각적 요소,긍정,장소,42,0,1,43,97.7,0.0,2.3,369.72,0.0,8.7
남산,2. 시각적 요소,긍정,분위기,46,1,2,49,93.9,2.0,4.1,367.34,7.82,16.04
남산,2. 시각적 요소,긍정,도시,58,4,7,69,84.1,5.8,10.1,357.3,24.64,42.91
남산,2. 시각적 요소,긍정,불빛,40,3,0,43,93.0,7.0,0.0,351.93,26.49,0.0
남산,2. 시각적 요소,긍정,길,33,0,3,36,91.7,0.0,8.3,331.12,0.0,29.97
남산,2. 시각적 요소,긍정,전망대,52,3,17,72,72.2,4.2,23.6,309.77,18.02,101.25
남산,2. 시각적 요소,긍정,공원,27,0,3,30,90.0,0.0,10.0,309.06,0.0,34.34
남산,2. 시각적 요소,긍정,서울,37,0,10,47,78.7,0.0,21.3,304.66,0.0,82.46
남산,2. 시각적 요소,긍정,사진,60,23,10,93,64.5,24.7,10.8,293.04,112.22,49.07
남산,2. 시각적 요소,긍정,스카이라인,16,0,0,16,100.0,0.0,0.0,283.32,0.0,0.0
남산,2. 시각적 요소,긍정,경관,17,1,0,18,94.4,5.6,0.0,277.96,16.49,0.0
남산,2. 시각적 요소,긍정,밤,23,1,4,28,82.1,3.6,14.3,276.45,12.12,48.15
남산,2. 시각적 요소,긍정,볼거리,22,6,0,28,78.6,21.4,0.0,264.67,72.06,0.0
남산,2. 시각적 요소,긍정,벚꽃,17,1,2,20,85.0,5.0,10.0,258.78,15.22,30.45
남산,2. 시각적 요소,부정,시야,7,9,0,16,43.8,56.2,0.0,124.09,159.23,0.0
남산,2. 시각적 요소,부정,비,1,5,5,11,9.1,45.5,45.5,22.61,113.06,113.06
남산,2. 시각적 요소,부정,사진,60,23,10,93,64.5,24.7,10.8,293.04,112.22,49.07
남산,2. 시각적 요소,부정,날씨,33,19,35,87,37.9,21.8,40.2,169.69,97.61,179.99
남산,2. 시각적 요소,부정,볼거리,22,6,0,28,78.6,21.4,0.0,264.67,72.06,0.0
남산,2. 시각적 요소,부정,불,3,2,0,5,60.0,40.0,0.0,107.51,71.67,0.0
남산,2. 시각적 요소,부정,조명,25,7,6,38,65.8,18.4,15.8,241.06,67.41,57.88
남산,2. 시각적 요소,부정,보기,3,2,2,7,42.9,28.6,28.6,89.21,59.47,59.47
남산,2. 시각적 요소,부정,안개,3,3,10,16,18.8,18.8,62.5,53.26,53.26,177.08
남산,2. 시각적 요소,부정,구름,3,2,5,10,30.0,20.0,50.0,71.94,47.96,119.89
남산,2. 시각적 요소,부정,아름다움,7,2,1,10,70.0,20.0,10.0,167.85,47.96,23.98
남산,2. 시각적 요소,부정,바람,6,2,3,11,54.5,18.2,27.3,135.43,45.23,67.84
남산,2. 시각적 요소,부정,건물,6,2,5,13,46.2,15.4,38.5,121.92,40.64,101.6
남산,2. 시각적 요소,부정,색깔,1,1,3,5,20.0,20.0,60.0,35.84,35.84,107.51
남산,2. 시각적 요소,부정,시간,3,1,1,5,60.0,20.0,20.0,107.51,35.84,35.84
남산,2. 시각적 요소,부정,영상,3,1,2,6,50.0,16.7,33.3,97.3,32.5,64.8
남산,2. 시각적 요소,부정,타워,46,6,38,90,51.1,6.7,42.2,230.5,30.22,190.36
남산,2. 시각적 요소,부정,눈,5,1,1,7,71.4,14.3,14.3,148.47,29.74,29.74
남산,2. 시각적 요소,부정,경치,519,24,12,555,93.5,4.3,2.2,590.99,27.18,13.91
남산,2. 시각적 요소,부정,불빛,40,3,0,43,93.0,7.0,0.0,351.93,26.49,0.0
남산,2. 시각적 요소,중립,자물쇠,29,0,31,60,48.3,0.0,51.7,198.56,0.0,212.53
남산,2. 시각적 요소,중립,타워,46,6,38,90,51.1,6.7,42.2,230.5,30.22,190.36
남산,2. 시각적 요소,중립,날씨,33,19,35,87,37.9,21.8,40.2,169.69,97.61,179.99
남산,2. 시각적 요소,중립,높이,1,0,6,7,14.3,0.0,85.7,29.74,0.0,178.21
남산,2. 시각적 요소,중립,안개,3,3,10,16,18.8,18.8,62.5,53.26,53.26,177.08
남산,2. 시각적 요소,중립,탑,41,4,23,68,60.3,5.9,33.8,255.32,24.98,143.11
남산,2. 시각적 요소,중립,정상,5,1,6,12,41.7,8.3,50.0,106.96,21.29,128.25
남산,2. 시각적 요소,중립,구름,3,2,5,10,30.0,20.0,50.0,71.94,47.96,119.89
남산,2. 시각적 요소,중립,언덕,3,0,4,7,42.9,0.0,57.1,89.21,0.0,118.74
남산,2. 시각적 요소,중립,비,1,5,5,11,9.1,45.5,45.5,22.61,113.06,113.06
