명소,대분류,감성구분,aspect,긍정,부정,중립,전체,긍정비율,부정비율,중립비율,긍정_가중점수,부정_가중점수,중립_가중점수
북촌,1. 전반적 인식,긍정,가치,78,15,0,93,83.9,16.1,0.0,381.18,73.15,0.0
북촌,1. 전반적 인식,긍정,경험,48,4,1,53,90.6,7.5,1.9,361.4,29.92,7.58
북촌,1. 전반적 인식,긍정,분위기,54,8,2,64,84.4,12.5,3.1,352.32,52.18,12.94
북촌,1. 전반적 인식,긍정,마을,56,10,13,79,70.9,12.7,16.5,310.69,55.65,72.3
북촌,1. 전반적 인식,긍정,장소,32,1,5,38,84.2,2.6,13.2,308.47,9.53,48.36
북촌,1. 전반적 인식,긍정,방문,23,1,4,28,82.1,3.6,14.3,276.45,12.12,48.15
북촌,1. 전반적 인식,긍정,지역,30,6,5,41,73.2,14.6,12.2,273.6,54.57,45.6
북촌,1. 전반적 인식,긍정,명소,24,5,2,31,77.4,16.1,6.5,268.25,55.8,22.53
북촌,1. 전반적 인식,긍정,동네,22,2,6,30,73.3,6.7,20.0,251.71,23.01,68.68
북촌,1. 전반적 인식,긍정,시간,11,0,0,11,100.0,0.0,0.0,248.49,0.0,0.0
북촌,1. 전반적 인식,긍정,매력,20,9,0,29,69.0,31.0,0.0,234.68,105.44,0.0
북촌,1. 전반적 인식,긍정,한옥마을,13,3,2,18,72.2,16.7,11.1,212.59,49.17,32.68
북촌,1. 전반적 인식,긍정,역사,9,0,2,11,81.8,0.0,18.2,203.27,0.0,45.23
북촌,1. 전반적 인식,긍정,북촌,6,0,0,6,100.0,0.0,0.0,194.59,0.0,0.0
북촌,1. 전반적 인식,긍정,여행,8,2,0,10,80.0,20.0,0.0,191.83,47.96,0.0
북촌,1. 전반적 인식,긍정,인기,5,0,0,5,100.0,0.0,0.0,179.18,0.0,0.0
북촌,1. 전반적 인식,긍정,북촌 한옥마을,8,0,4,12,66.7,0.0,33.3,171.08,0.0,85.41
북촌,1. 전반적 인식,긍정,서울,6,0,2,8,75.0,0.0,25.0,164.79,0.0,54.93
북촌,1. 전반적 인식,긍정,문화,5,0,1,6,83.3,0.0,16.7,162.09,0.0,32.5
북촌,1. 전반적 인식,긍정,추천,4,2,0,6,66.7,33.3,0.0,129.79,64.8,0.0
북촌,1. 전반적 인식,부정,필요,0,7,2,9,0.0,77.8,22.2,0.0,179.14,51.12
북촌,1. 전반적 인식,부정,매력,20,9,0,29,69.0,31.0,0.0,234.68,105.44,0.0
북촌,1. 전반적 인식,부정,활기,3,3,0,6,50.0,50.0,0.0,97.3,97.3,0.0
북촌,1. 전반적 인식,부정,가치,78,15,0,93,83.9,16.1,0.0,381.18,73.15,0.0
북촌,1. 전반적 인식,부정,추천,4,2,0,6,66.7,33.3,0.0,129.79,64.8,0.0
북촌,1. 전반적 인식,부정,관광지,5,3,5,13,38.5,23.1,38.5,101.6,60.96,101.6
북촌,1. 전반적 인식,부정,마음,4,2,1,7,57.1,28.6,14.3,118.74,59.47,29.74
북촌,1. 전반적 인식,부정,관광,4,2,1,7,57.1,28.6,14.3,118.74,59.47,29.74
북촌,1. 전반적 인식,부정,거리,4,2,1,7,57.1,28.6,14.3,118.74,59.47,29.74
북촌,1. 전반적 인식,부정,명소,24,5,2,31,77.4,16.1,6.5,268.25,55.8,22.53
북촌,1. 전반적 인식,부정,마을,56,10,13,79,70.9,12.7,16.5,310.69,55.65,72.3
북촌,1. 전반적 인식,부정,지역,30,6,5,41,73.2,14.6,12.2,273.6,54.57,45.6
북촌,1. 전반적 인식,부정,분위기,54,8,2,64,84.4,12.5,3.1,352.32,52.18,12.94
북촌,1. 전반적 인식,부정,한옥마을,13,3,2,18,72.2,16.7,11.1,212.59,49.17,32.68
북촌,1. 전반적 인식,부정,여행,8,2,0,10,80.0,20.0,0.0,191.83,47.96,0.0
북촌,1. 전반적 인식,부정,경험,48,4,1,53,90.6,7.5,1.9,361.4,29.92,7.58
북촌,1. 전반적 인식,부정,동네,22,2,6,30,73.3,6.7,20.0,251.71,23.01,68.68
북촌,1. 전반적 인식,부정,방문,23,1,4,28,82.1,3.6,14.3,276.45,12.12,48.15
북촌,1. 전반적 인식,부정,장소,32,1,5,38,84.2,2.6,13.2,308.47,9.53,48.36
북촌,1. 전반적 인식,부정,관심,3,0,2,5,60.0,0.0,40.0,107.51,0.0,71.67
